COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
ENTA1114-L.1,Visualisation For Industrial Design I,0,0,8 / 30,Şile,"D/K-205, D/K-205",SOYHAN,BALTACI,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENTA2114.1,Structures and Systems in Industrial Design (3),3,5,3 / 30,Online,"D/K-313, D/K-313",İBRAHİM ÇAĞRI,ŞAHİN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENTA2114-L.1,Structures and Systems in Industrial Design,0,0,3 / 30,Online,"D/K-313, D/K-313",İBRAHİM ÇAĞRI,ŞAHİN,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENTA2116.1,Computer Aided Design I (3),3,4,2 / 25,Online,"ONLINE, ONLINE",MUSTAFA BORA,TÜMER,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA2116-L.1,Computer Aided Design I,0,0,2 / 25,Online,"ONLINE, ONLINE",MUSTAFA BORA,TÜMER,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA2118.1,Design Research (3),3,5,4 / 30,Şile,"D/K-101, D/K-101, D/K-101",SİNEM BAHAR,TUNÇELLİ,STAFF,"Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20","Faculty of Arts, Design and Architecture",3,NO
ENTA2122.1,Mock Up and Prototype Construction Techniques (3),3,4,6 / 30,Şile,"D/K-101, D/K-101",ENES,TOPLUGÜL,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENTA2122-L.1,Mock Up and Prototype Construction Techniques,0,0,6 / 30,Şile,"D/K-101, D/K-101",ENES,TOPLUGÜL,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENTA2202.1,Industrial Design Studio I (4),4,6,0 / 6,Şile,"D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102",SİNEM BAHAR,TUNÇELLİ,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA2202.2,Industrial Design Studio I (4),4,6,0 / 6,Şile,"D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202",ETHEM HÜRSU,ÖKE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA2202.3,Industrial Design Studio I (4),4,6,0 / 7,Şile,"D/K-112, D/K-112, D/K-112, D/K-112, D/K-112, D/K-112, D/K-112, D/K-112",NURHAN,YILMAZ BORAND,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA2202.4,Industrial Design Studio I (4),4,6,0 / 6,Şile,"D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206",ÖZCAN,MENEKŞE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3112.1,Packaging Design (3),3,4,4 / 20,Şile,"D/K-507, D/K-507",ETHEM HÜRSU,ÖKE,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENTA3112-L.1,Packaging Design,0,0,4 / 20,Şile,"D/K-207, D/K-207",ETHEM HÜRSU,ÖKE,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENTA3301.1,Industrial Design Studio II (4),4,8,0 / 1,Şile,"D/K-212 , D/K-212 , D/K-212 , D/K-212 , D/K-212 , D/K-212",SİNEM BAHAR,TUNÇELLİ,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3301.2,Industrial Design Studio II (4),4,8,0 / 1,Şile,"D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513",ETHEM HÜRSU,ÖKE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
